#,Artiste,Titre,fileDate,freq,True_Target,CleanedTitle,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
30,Sch ,Marché noir,21-02-13,2,False,Marché noir,4uOiz6kmw0NkJLWAS0etWx,74,0.55,0.546,2,-8.567,0,0.39,0.416,0.00104,0.571,0.204,80.035,210953
49,Riton x Nightcrawlers feat. Mufasa & Hypeman ,Friday (Dopamine Re-Edit),21-02-13,4,True,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,87,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153
50,Ykons ,Sequoia Trees,21-02-13,4,True,Sequoia Trees,0GNvrasvTX93h4ljqq04qe,37,0.608,0.905,2,-4.963,1,0.0442,0.00143,2.59e-06,0.248,0.635,124.962,180013
45,Kendji Girac ,Évidemment,21-02-20,3,True,Evidemment,5FIm6nxZHSATCCeRSYier0,63,0.369,0.578,10,-6.813,1,0.059,0.543,1.41e-06,0.115,0.314,77.797,237653
46,Justin Bieber ,Anyone,21-02-20,2,False,Anyone,31qCy5ZaophVA81wtlwLc4,92,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779
47,Delta [BE] ,Nirvana,21-02-20,3,True,Doorway to Nirvana,5CBUXUPyITAxMTwnRf8raK,0,0.168,0.00194,1,-44.454,1,0.0604,0.768,0.728,0.111,0.0399,115.711,182000
48,atb x Topic x A7S ,Your Love (9PM),21-02-20,3,True,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,88,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053
33,JC Stewart ,Break My Heart,21-02-27,3,True,Break My Heart,6KMkEX692kOyqJ7WuPhRab,69,0.653,0.763,9,-5.137,0,0.0719,0.00701,0,0.137,0.642,159.02,179856
40,Ashnikko feat. Kelis ,Deal With It,21-02-27,2,False,Deal With It (feat. Kelis),47HA2S1j9yj34Ff1aIsF5Y,71,0.712,0.689,1,-5.286,0,0.128,0.141,0,0.657,0.49,82.98,191149
45,Shane Codd ,Get Out My Head,21-02-27,2,False,Get Out My Head,055Mme9ReKK99jRFA5UJ55,79,0.693,0.913,0,-3.035,1,0.0298,0.0542,6.87e-05,0.231,0.795,123.989,204933
47,CJ ,Whoopty,21-02-27,2,False,Whoopty,5vGLcdRuSbUhD8ScwsGSdA,91,0.719,0.648,3,-7.6,0,0.125,0.2,0,0.127,0.66,140.201,123263
48,Kid Noize feat. Gio Kemper ,Monster Next Door,21-02-27,2,False,Monster Next Door,1T91K3C9HbX63tsJuk2mVu,38,0.626,0.768,7,-5.462,1,0.0358,0.0283,0,0.151,0.538,124.999,158080
7,Tayc ,Le temps,21-03-06,1,False,Le temps,6yIh43XrY4Mc5xOxeagVhp,65,0.577,0.595,6,-6.084,1,0.173,0.108,0.000101,0.0759,0.633,201.892,197241
41,Ofenbach feat. Lagique ,Wasted Love,21-03-06,1,False,Wasted Love (feat. Lagique),2pPO9YecZimmuVQfIzfV6U,80,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,139563
50,Antoine Delie ,Dis-moi,21-03-06,1,False,Dis-moi,6L6KPuoR8B2miZl8I3ie4R,34,0.912,0.613,10,-6.289,1,0.0522,0.0101,0.00641,0.11,0.578,117.971,176949
